epoch,accuracy,loss,val_accuracy,val_loss
0,0.4558538496494293,1.2618852853775024,0.5331411957740784,1.072777271270752
1,0.6257957220077515,0.9274824857711792,0.579250693321228,1.0370495319366455
2,0.6634376049041748,0.8276646137237549,0.6051872968673706,0.9853172898292542
3,0.7149183750152588,0.7136522531509399,0.6340057849884033,1.0189484357833862
4,0.7564350962638855,0.6315495371818542,0.5936599373817444,1.09562349319458
5,0.7904788255691528,0.5444099307060242,0.5648415088653564,1.1454956531524658
6,0.7938001751899719,0.5146967768669128,0.6109510064125061,1.1992982625961304
7,0.8416827917098999,0.43024444580078125,0.5446686148643494,1.2807846069335938
8,0.8522003889083862,0.3831157088279724,0.5850144028663635,1.3682202100753784
9,0.867976725101471,0.3494657278060913,0.559077799320221,1.4221439361572266
10,0.8939939141273499,0.3059329390525818,0.5821325778961182,1.3900396823883057
11,0.9036811590194702,0.26644161343574524,0.5706051588058472,1.4404122829437256
12,0.9031276106834412,0.25607171654701233,0.5936599373817444,1.610878348350525
13,0.9175200462341309,0.2318527102470398,0.6311239004135132,1.5700262784957886
14,0.9225021004676819,0.2190665602684021,0.5706051588058472,1.6390975713729858
15,0.9327428936958313,0.18560320138931274,0.559077799320221,1.8418371677398682
16,0.9460282325744629,0.16320763528347015,0.5763688683509827,1.8077645301818848
17,0.9418765306472778,0.17112307250499725,0.5677233338356018,1.8789480924606323
18,0.950733482837677,0.1440410017967224,0.5734870433807373,2.002103567123413
19,0.9435372352600098,0.16303135454654694,0.5706051588058472,1.9457463026046753
20,0.947965681552887,0.1554957926273346,0.5763688683509827,1.985953450202942
21,0.9620813727378845,0.11571088433265686,0.6167147159576416,1.8700251579284668
22,0.9590368270874023,0.12687070667743683,0.5648415088653564,2.0063819885253906
23,0.9659562706947327,0.09857314079999924,0.5561959743499756,2.104740619659424
24,0.9446443319320679,0.1486288458108902,0.5677233338356018,2.2075653076171875
