epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3302572965621948,0.43515849113464355,1.2659820318222046
1,0.6543039083480835,0.9758939743041992,0.6772334575653076,0.9374863505363464
2,0.798505425453186,0.5689465999603271,0.6858789920806885,0.7840871810913086
3,0.8510932922363281,0.40477171540260315,0.7146974205970764,0.7827765941619873
4,0.8831995725631714,0.3226500451564789,0.6945244669914246,0.8223931193351746
5,0.9122613072395325,0.2595887780189514,0.7002881765365601,0.8569966554641724
6,0.9302518963813782,0.21761426329612732,0.7031700015068054,0.9271887540817261
7,0.9413229823112488,0.18408925831317902,0.6945244669914246,0.9755699038505554
8,0.951287031173706,0.15269634127616882,0.6858789920806885,1.0318471193313599
9,0.9559922218322754,0.13727499544620514,0.6974063515663147,1.0852566957473755
10,0.9656794667243958,0.11664297431707382,0.6974063515663147,1.0947229862213135
11,0.9670633673667908,0.11148855835199356,0.6772334575653076,1.212573528289795
12,0.9678937196731567,0.1039843037724495,0.6916426420211792,1.1820759773254395
13,0.973429262638092,0.09381361305713654,0.6829971075057983,1.2188239097595215
14,0.972045361995697,0.0893048495054245,0.6916426420211792,1.255622148513794
15,0.9745364189147949,0.07921946048736572,0.680115282535553,1.3090970516204834
16,0.975643515586853,0.08492691814899445,0.680115282535553,1.3092041015625
17,0.973429262638092,0.07607454806566238,0.6685879230499268,1.3991843461990356
18,0.975089967250824,0.06979784369468689,0.6772334575653076,1.367074966430664
19,0.976473867893219,0.06811302900314331,0.6743515729904175,1.3826895952224731
20,0.9759202599525452,0.06817581504583359,0.6916426420211792,1.4430128335952759
21,0.975643515586853,0.06606405973434448,0.6829971075057983,1.461522102355957
22,0.9761970639228821,0.06386831402778625,0.6714697480201721,1.5099793672561646
23,0.9739828109741211,0.06887383759021759,0.6974063515663147,1.5026600360870361
24,0.9792416095733643,0.06147029250860214,0.6858789920806885,1.5168508291244507
